	Title	Location	Company	Salary	Synopsis	days since post
29	Operations Supervisor Specialist - Building Automation - Ply...	Plymouth, MI	Siemens	NaN	            Individual must be at least 21 years of age in order to participate in the required Siemens vehicle plan. The Siemens Building Technologies Division is the...	30+ days ago
30	Strategic Student Program Product Marketing Intern (LCS, Tro...	Troy, MI 48098	Siemens	NaN	Siemens PLM Software. Discover your career with us at Siemens PLM Software! As a global technology company, Siemens is rigorously leveraging the advantages that...	22 days ago
31	Technical Product Manager - Advanced Teamcenter / STAR-CCM+	Northville, MI	Siemens	NaN	            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	7 days ago
32	Senior Performance Assurance Specialist - Measurement & Veri...	Plymouth, MI	Siemens	NaN	Siemens has helped to modernize nearly 7,000 buildings worldwide,. The Siemens Building Technologies Division is the North American market....	7 days ago
33	Focused Account Manager - Machine Tool Systems	Troy, MI 48098	Siemens	NaN	            This is a key role within the Siemens Motion Controls Machine Tool systems community and it impacts both US domestic business as well as Siemens specifications...	7 days ago
34	Security Systems Installation Technician - Detroit, MI	Plymouth, MI	Siemens	NaN	            Individual must be at least 21 years of age in order to participate in the required Siemens vehicle plan. The Siemens Building Technologies Division is the...	30+ days ago
35	IoT Solutions Sales Executive - Detroit	Plymouth, MI	Siemens	NaN	            Allow Siemens Industry, Inc. Represents Siemens with active participation in industry associations, professional organization and affiliations....	30+ days ago
36	Modeling & Simulation Services Manager	Nan	Siemens	NaN	                            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	Nan
37	Solution Architect - Applications Lifecycle Management (ALM)...	Nan	Siemens	NaN	                            Support customer adoption by leveraging the complete Siemens Delivery framework. Solutions Architect â€“ Siemens Polarion â€“ Applications Lifecycle Management -...	Nan
38	Application Support Engineer - STAR-CCM+ - Northville, MI	Nan	Siemens	NaN	Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services in order to support...	Nan
39	Application Support Engineer - STAR-CCM+ - Northville, MI	Northville, MI	Siemens	NaN	Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services in order to support...	23 days ago
40	Area Sales Professional-Automation Motion/Controls-MI	Troy, MI 48098	Siemens	NaN	Siemens US Talent Acquisition. This position will promote the Digitalization Strategies across all Siemens Product/Solution offerings....	30+ days ago
41	Business Development Manager - Fire Safety Services - Buildi...	Plymouth, MI	Siemens	NaN	Siemens has helped to modernize nearly 7,000 buildings worldwide,. The Siemens Building Technologies Division is the North American market....	7 days ago
42	Account Manager-US Utility Sales Manager for the Industrial...	Troy, MI 48098	Siemens	NaN	Siemens US Talent Acquisition. Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services...	7 days ago
43	Application Support Engineer Student Intern (SSE, JR)	Troy, MI 48098	Siemens	NaN	Siemens US Talent Acquisition. Experience with Siemens software is a plus. Discover your career with us at Siemens PLM Software!...	28 days ago
44	Associate Project Manager- Fire Safety Systems - Plymouth, M...	Plymouth, MI	Siemens	NaN	            Must be at least 21 years old to participate in required Siemens vehicle plan. Document all key meetings, important decisions, changes in scope, and...	30+ days ago
45	Application Engineer Modeling & Simulation - Detroit, MI	Troy, MI 48098	Siemens	NaN	            The Siemens PLM organization. The Siemens Simcenter product development team. Benchmarks using the Siemens Simcenter System Simulation portfolio....	30+ days ago
46	Low Voltage Power Supply Sales Support Specialist-PA-NJ-MI-O...	Troy, MI 48098	Siemens	NaN	Siemens Industry, Inc. As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides....	7 days ago
47	Software Engineer - - Troy, MI	Troy, MI 48098	Siemens	NaN	            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	30+ days ago
48	Solutions Operations Manager - Building Technology - Plymout...	Plymouth, MI	Siemens	NaN	Siemens US Talent Acquisition. Manages the strategic and tactical activities in Field Solutions Operations supporting the Building Technologies Division of...	30+ days ago
49	Application Support Engineer - STAR-CCM+ - Northville, MI	Nan	Siemens	NaN	Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services in order to support...	Nan
50	PreSales Solutions Consultant NX - East Coast, US	Nan	Siemens	NaN	                            Develop a strong high-level knowledge of the entire breadth of Siemens' digital enterprise product design and manufacturing portfolio....	Nan
51	Modeling & Simulation Services Manager	Nan	Siemens	NaN	                            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	Nan
52	CAM & Additive Pre-Sales Business Development Consultant	Troy, MI 48098	Siemens	NaN	Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services in order to support...	7 days ago
53	Internal Combustion Engine (ICE) Applications Engineer - Adv...	Northville, MI	Siemens	NaN	            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	7 days ago
54	NX CAM Training Instructor - Learning Architect PLM - Detroi...	Livonia, MI 48150	Siemens	NaN	            Minimum 5 years of industry experience using CAM Programming on Siemens PLM NX software is required. Deliver training of Siemens PLM applications in a manner...	7 days ago
55	Technical Product Manager Advanced, STAR-CCM+ SaaS solutions	Northville, MI	Siemens	NaN	Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services in order to support...	7 days ago
56	Senior Application Sales Engineer - Intelligent Traffic Solu...	Troy, MI 48098	Siemens	NaN	Siemens Intelligent Traffic Solutions. Come and make a difference with Siemens. Present technical presentations for customers to explain the benefits of Siemens...	7 days ago
57	Strategic Student Program Software Development Intern (LCS,...	Troy, MI 48098	Siemens	NaN	Siemens PLM Software. Discover your career with us at Siemens PLM Software! As a global technology company, Siemens is rigorously leveraging the advantages that...	27 days ago
58	Service Support Specialist - HVAC Controls - Plymouth, MI	Plymouth, MI	Siemens	NaN	            Individual must be at least 21 years of age in order to participate in the required Siemens vehicle plan. The Siemens Building Technologies Division is the...	30+ days ago
59	Area Sales Professional-End User Account Manager-Automation-...	Troy, MI 48098	Siemens	NaN	Siemens US Talent Acquisition. This position will promote the Digitalization Strategies across all Siemens Product/Solution offerings....	30+ days ago
60	Solution Architect - Applications Lifecycle Management (ALM)...	Southfield, MI	Siemens	NaN	            Support customer adoption by leveraging the complete Siemens Delivery framework. Solutions Architect â€“ Siemens Polarion â€“ Applications Lifecycle Management -...	30+ days ago
61	Staff Test Engineer â€“ Syngo Dynamics: Cardiology image revie...	Ann Arbor, MI 48108	Siemens	NaN	            At Siemens Healthineers, we are passionate about enabling healthcare professionals to deliver high quality patient care, and to do so affordably....	6 days ago
62	Application Support Engineer - STAR-CCM+ - Northville, MI	Nan	Siemens	NaN	Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services in order to support...	Nan
63	PreSales Solutions Consultant NX - East Coast, US	Nan	Siemens	NaN	                            Develop a strong high-level knowledge of the entire breadth of Siemens' digital enterprise product design and manufacturing portfolio....	Nan
64	Modeling & Simulation Services Manager	Nan	Siemens	NaN	                            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	Nan
65	PreSales Solutions Consultant NX - East Coast, US	Nan	Siemens	NaN	                            Develop a strong high-level knowledge of the entire breadth of Siemens' digital enterprise product design and manufacturing portfolio....	Nan
66	Modeling & Simulation Services Manager	Nan	Siemens	NaN	                            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	Nan
67	CFD Engineering Student Co-op (ECS, RR)	Northville, MI	Siemens	NaN	            Discover your career with us at Siemens PLM Software! Carry out Computational Fluid Dynamic (CFD) analyses using Siemens PLM general-purpose CFD software;...	28 days ago
68	Sr. Sales Executive - Building Automation Service Sales - Pl...	Plymouth, MI	Siemens	NaN	Siemens Building Technologies is currently searching for a dynamic Sr. Expand the value of assigned accounts for all Siemens Building Technologies offerings....	30+ days ago
69	Computational Electromagnetics Applications Engineer - Advan...	Northville, MI	Siemens	NaN	            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	7 days ago
70	Enterprise Sales Executive II - PLM Software - Detroit, MI	Livonia, MI 48150	Siemens	NaN	            CONTRIBUES TO THEBROADER SIEMENS PLM TEAM. Siemens PLM from vendor to trusted advisor. Makes contributions to Siemens PLM outside of Account(s)/territory;...	30+ days ago
71	Automation Controls Engineering Manager - Flexible Location	Troy, MI 48098	Siemens	NaN	            The successful candidate will be a results oriented leader and will coordinate closely with other Siemens business units, as well as being closely aligned with...	7 days ago
72	Senior Estimator/Inside Sales Specialist - Intelligent Traff...	Troy, MI 48098	Siemens	NaN	Siemens Intelligent Traffic Systems. We like to act as a team at Siemens. If you really want to make a difference - make it with Siemens....	7 days ago
73	Vehicle Thermal Management Applications Engineer - Advanced	Northville, MI	Siemens	NaN	            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	22 days ago
74	Teamcenter Migration Architect - Major US City (Preferred: D...	Livonia, MI 48150	Siemens	NaN	            Leverage migration best practices and templates for the Siemens PLM Software solution delivered to provide customer value....	7 days ago
75	Software Engineer â€“ Syngo Dynamics: Cardiology image review...	Ann Arbor, MI 48108	Siemens	NaN	            At Siemens Healthineers, we are passionate about enabling healthcare professionals to deliver high quality patient care, and to do so affordably....	30+ days ago
76	Automation Network Consultant/Business Developer-Midwest	Troy, MI 48098	Siemens	NaN	Siemens Industry, Inc. Siemens US Talent Acquisition. As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides....	30+ days ago
77	Application Support Engineer - STAR-CCM+ - Northville, MI	Nan	Siemens	NaN	Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services in order to support...	Nan
78	Sales Account Executive - Building Management Energy Automat...	Plymouth, MI	        Siemens	NaN	            Reporting to the Area Sales Manager, this role will focus on customers in all vertical markets, mostly the Automotive, Tier, Municipalities, Universities...	30+ days ago
79	Senior ATMS Sales Engineer - Intelligent Traffic Solutions	Troy, MI 48098	        Siemens	NaN	            Mobility in the U.S. is in the middle of a technological revolution, and as cities and states start to plan for and implement autonomous, electric, connected...	7 days ago
80	Product Architect - Teamcenter Active Workspace - Major U.S....	Livonia, MI 48150	        Siemens	NaN	            As part of the Professional Services team, you will work with Consultants, Solution Architects, Project Managers, Industry Experts and Product Development...	7 days ago
81	Modeling & Simulation Services Manager	Nan	        Siemens	NaN	                            As a senior member of the Engineering Consulting Services team, you will be leading a team developing methods and solutions to realize efficiency...	Nan
82	PreSales Solutions Consultant NX - East Coast, US	Nan	        Siemens	NaN	                            Utilizing advanced knowledge of customer business needs, engineering and manufacturing processes, industry best practices and competitivedifferentiation...	Nan
83	Application Support Engineer - STAR-CCM+ - Northville, MI	Nan	        Siemens	NaN	                            Working closely with customers to understand their engineering workflow, the Application Support Engineer proposes solutions and best practices to help the...	Nan
84	Solution Architect - Applications Lifecycle Management (ALM)...	Nan	        Siemens	NaN	                            Leverage relevant templates in the leadership of project solutions in own specialist area worldwide, and curate best practices and templates, providing...	Nan
85	PreSales Solutions Consultant III - Siemens Software - USA r...	Nan	        Siemens	NaN	                            Oversee, and where appropriate, lead the engagement with customers andprospects to gather high level customer business and technicalrequirements...	Nan
86	NX CAM Training Instructor - Learning Architect PLM - Detroi...	Nan	        Siemens	NaN	                            Book travel for external and internal events, manage business expenses, and complete expense reports and submit them in accordance with company and...	Nan
87	Product Architect - Teamcenter Active Workspace - Major U.S....	Nan	        Siemens	NaN	                            As part of the Professional Services team, you will work with Consultants, Solution Architects, Project Managers, Industry Experts and Product Development...	Nan
88	Principal Solution Architect - Global MOM Services Subject M...	Nan	        Siemens	NaN	                            The role is a subject matter expert as it relates to the implementation of Quality Management Systems IBS products as a part of the Manufacturing Operations...	Nan
89	Principal Solution Architect - Global MOM Services (SME) for...	Nan	        Siemens	NaN	                            The role is a subject matter expert as it relates to the implementation of Siemens QMS products as a part of the MOM product portfolio.	Nan
90	Principal Solution Architect - Global MOM Services (SME) for...	Nan	        Siemens	NaN	                            Overall responsibility â€“ This role is a Global Role related to the implementation of Simatic IT Unified Architecture MES.	Nan
91	Application Support Engineer - STAR-CCM+ - Northville, MI	Nan	Siemens	NaN	Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services in order to support...	Nan
92	Solution Architect - Applications Lifecycle Management (ALM)...	Nan	Siemens	NaN	                            Support customer adoption by leveraging the complete Siemens Delivery framework. Solutions Architect â€“ Siemens Polarion â€“ Applications Lifecycle Management -...	Nan
93	Enterprise Sales Executive II - PLM Software - Detroit, MI	Livonia, MI 48150	Siemens	NaN	            CONTRIBUES TO THEBROADER SIEMENS PLM TEAM. Siemens PLM from vendor to trusted advisor. Makes contributions to Siemens PLM outside of Account(s)/territory;...	30+ days ago
94	Automation Controls Engineering Manager - Flexible Location	Troy, MI 48098	Siemens	NaN	            The successful candidate will be a results oriented leader and will coordinate closely with other Siemens business units, as well as being closely aligned with...	7 days ago
95	Senior Estimator/Inside Sales Specialist - Intelligent Traff...	Troy, MI 48098	Siemens	NaN	Siemens Intelligent Traffic Systems. We like to act as a team at Siemens. If you really want to make a difference - make it with Siemens....	7 days ago
96	Vehicle Thermal Management Applications Engineer - Advanced	Northville, MI	Siemens	NaN	            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	22 days ago
97	Teamcenter Migration Architect - Major US City (Preferred: D...	Livonia, MI 48150	Siemens	NaN	            Leverage migration best practices and templates for the Siemens PLM Software solution delivered to provide customer value....	7 days ago
98	Software Engineer â€“ Syngo Dynamics: Cardiology image review...	Ann Arbor, MI 48108	Siemens	NaN	            At Siemens Healthineers, we are passionate about enabling healthcare professionals to deliver high quality patient care, and to do so affordably....	30+ days ago
99	Automation Network Consultant/Business Developer-Midwest	Troy, MI 48098	Siemens	NaN	Siemens Industry, Inc. Siemens US Talent Acquisition. As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides....	30+ days ago
100	Sales Account Executive - Building Management Energy Automat...	Plymouth, MI	Siemens	NaN	            Individual must be at least 21 years of age in order to participate in the required Siemens vehicle plan. The Siemens Building Technologies Division is the...	30+ days ago
101	Senior ATMS Sales Engineer - Intelligent Traffic Solutions	Troy, MI 48098	Siemens	NaN	Siemens Intelligent Traffic Solutions. Conduct customer visits to present the Siemens ATMS solutions portfolio and show Siemens value add as the ITS technical...	7 days ago
102	Product Architect - Teamcenter Active Workspace - Major U.S....	Livonia, MI 48150	Siemens	NaN	            Leverage industry best practices and templates for the Siemens PLM Software solution delivered to provide customer value....	7 days ago
103	Modeling & Simulation Services Manager	Nan	Siemens	NaN	                            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	Nan
104	Application Support Engineer - STAR-CCM+ - Northville, MI	Nan	Siemens	NaN	Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services in order to support...	Nan
105	Enterprise Sales Executive II - PLM Software - Detroit, MI	Livonia, MI 48150	Siemens	NaN	            CONTRIBUES TO THEBROADER SIEMENS PLM TEAM. Siemens PLM from vendor to trusted advisor. Makes contributions to Siemens PLM outside of Account(s)/territory;...	30+ days ago
106	Automation Controls Engineering Manager - Flexible Location	Troy, MI 48098	Siemens	                $97,000 - $135,000 a year (Indeed est.)	            The successful candidate will be a results oriented leader and will coordinate closely with other Siemens business units, as well as being closely aligned with...	7 days ago
107	Senior Estimator/Inside Sales Specialist - Intelligent Traff...	Troy, MI 48098	Siemens	NaN	Siemens Intelligent Traffic Systems. We like to act as a team at Siemens. If you really want to make a difference - make it with Siemens....	7 days ago
108	Vehicle Thermal Management Applications Engineer - Advanced	Northville, MI	Siemens	NaN	            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	22 days ago
109	Teamcenter Migration Architect - Major US City (Preferred: D...	Livonia, MI 48150	Siemens	                $96,000 - $145,000 a year (Indeed est.)	            Leverage migration best practices and templates for the Siemens PLM Software solution delivered to provide customer value....	7 days ago
110	Software Engineer â€“ Syngo Dynamics: Cardiology image review...	Ann Arbor, MI 48108	Siemens	                $69,000 - $103,000 a year (Indeed est.)	            At Siemens Healthineers, we are passionate about enabling healthcare professionals to deliver high quality patient care, and to do so affordably....	30+ days ago
111	Automation Network Consultant/Business Developer-Midwest	Troy, MI 48098	Siemens	NaN	Siemens Industry, Inc. Siemens US Talent Acquisition. As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides....	30+ days ago
112	Sales Account Executive - Building Management Energy Automat...	Plymouth, MI	Siemens	NaN	            Individual must be at least 21 years of age in order to participate in the required Siemens vehicle plan. The Siemens Building Technologies Division is the...	30+ days ago
113	Senior ATMS Sales Engineer - Intelligent Traffic Solutions	Troy, MI 48098	Siemens	NaN	Siemens Intelligent Traffic Solutions. Conduct customer visits to present the Siemens ATMS solutions portfolio and show Siemens value add as the ITS technical...	7 days ago
114	Product Architect - Teamcenter Active Workspace - Major U.S....	Livonia, MI 48150	Siemens	                $95,000 - $144,000 a year (Indeed est.)	            Leverage industry best practices and templates for the Siemens PLM Software solution delivered to provide customer value....	7 days ago
115	PreSales Solutions Consultant NX - East Coast, US	Nan	Siemens	NaN	                            Develop a strong high-level knowledge of the entire breadth of Siemens' digital enterprise product design and manufacturing portfolio....	Nan
116	Solution Architect - Applications Lifecycle Management (ALM)...	Nan	Siemens	NaN	                            Support customer adoption by leveraging the complete Siemens Delivery framework. Solutions Architect â€“ Siemens Polarion â€“ Applications Lifecycle Management -...	Nan
117	Application Support Engineer - STAR-CCM+ - Northville, MI	Nan	Siemens	NaN	Siemens Digital Factory offers a comprehensive portfolio of seamlessly-integrated hardware software and technology-based services in order to support...	Nan
118	Enterprise Sales Executive II - PLM Software - Detroit, MI	Livonia, MI 48150	Siemens	NaN	            CONTRIBUES TO THEBROADER SIEMENS PLM TEAM. Siemens PLM from vendor to trusted advisor. Makes contributions to Siemens PLM outside of Account(s)/territory;...	30+ days ago
119	Automation Controls Engineering Manager - Flexible Location	Troy, MI 48098	Siemens	NaN	            The successful candidate will be a results oriented leader and will coordinate closely with other Siemens business units, as well as being closely aligned with...	7 days ago
120	Senior Estimator/Inside Sales Specialist - Intelligent Traff...	Troy, MI 48098	Siemens	NaN	Siemens Intelligent Traffic Systems. We like to act as a team at Siemens. If you really want to make a difference - make it with Siemens....	7 days ago
121	Vehicle Thermal Management Applications Engineer - Advanced	Northville, MI	Siemens	NaN	            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	22 days ago
122	Teamcenter Migration Architect - Major US City (Preferred: D...	Livonia, MI 48150	Siemens	NaN	            Leverage migration best practices and templates for the Siemens PLM Software solution delivered to provide customer value....	7 days ago
123	Software Engineer â€“ Syngo Dynamics: Cardiology image review...	Ann Arbor, MI 48108	Siemens	NaN	            At Siemens Healthineers, we are passionate about enabling healthcare professionals to deliver high quality patient care, and to do so affordably....	30+ days ago
124	Automation Network Consultant/Business Developer-Midwest	Troy, MI 48098	Siemens	NaN	Siemens Industry, Inc. Siemens US Talent Acquisition. As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides....	30+ days ago
125	Sales Account Executive - Building Management Energy Automat...	Plymouth, MI	Siemens	NaN	            Individual must be at least 21 years of age in order to participate in the required Siemens vehicle plan. The Siemens Building Technologies Division is the...	30+ days ago
126	Senior ATMS Sales Engineer - Intelligent Traffic Solutions	Troy, MI 48098	Siemens	NaN	Siemens Intelligent Traffic Solutions. Conduct customer visits to present the Siemens ATMS solutions portfolio and show Siemens value add as the ITS technical...	7 days ago
127	Product Architect - Teamcenter Active Workspace - Major U.S....	Livonia, MI 48150	Siemens	NaN	            Leverage industry best practices and templates for the Siemens PLM Software solution delivered to provide customer value....	7 days ago
128	Solution Architect - Applications Lifecycle Management (ALM)...	Nan	Siemens	NaN	                            Support customer adoption by leveraging the complete Siemens Delivery framework. Solutions Architect â€“ Siemens Polarion â€“ Applications Lifecycle Management -...	Nan
129	Modeling & Simulation Services Manager	Nan	Siemens	NaN	                            As a global technology company, Siemens is rigorously leveraging the advantages that this setup provides. Siemens is a global technology powerhouse that has...	Nan
130	Solution Architect - Applications Lifecycle Management (ALM)...	Nan	Siemens	NaN	                            Leverage relevant templates in the leadership of project solutions in own specialist area worldwide, and curate best practices and templates, providing...	Nan
131	Enterprise Sales Executive II - PLM Software - Detroit, MI	Livonia, MI 48150	Siemens	NaN	            Develops important and effective relationships within accountsincluding key Executives, translates customer challenges andopportunities into unique...	30+ days ago
132	Solution Architect - Applications Lifecycle Management (ALM)...	Southfield, MI	Siemens	NaN	            Leverage relevant templates in the leadership of project solutions in own specialist area worldwide, and curate best practices and templates, providing...	30+ days ago
133	Vehicle Thermal Management Applications Engineer - Advanced	Northville, MI	Siemens	NaN	            In this role, you will be a technical resource and leader for the global Siemens PLM Software company, with responsibilities related to material generation...	22 days ago
134	Sr. Sales Executive - Building Automation Service Sales - Pl...	Plymouth, MI	Siemens	NaN	            Act as a Trusted Advisor to customers across their enterprises. Work directly with building owners to reduce energy consumption, improve the indoor...	30+ days ago
135	Automation Network Consultant/Business Developer-Midwest	Troy, MI 48098	Siemens	NaN	            Outward focused, customer oriented and self-motivated promoter driven to:- focus on targeted accounts for Communication & Networking products and services...	30+ days ago
136	Software Engineer â€“ Syngo Dynamics: Cardiology image review...	Ann Arbor, MI 48108	Siemens	NaN	            Participate in team-driven systems software development, conduct full range of software engineering tasks including architectural analysis, database design...	30+ days ago
137	Teamcenter Migration Architect - Major US City (Preferred: D...	Livonia, MI 48150	Siemens	NaN	            Lead integration / migration activities, including analysis, design, solution validation and any required prototyping, with the customer to verify if the...	7 days ago
138	Senior ATMS Sales Engineer - Intelligent Traffic Solutions	Troy, MI 48098	Siemens	NaN	            Mobility in the U.S. is in the middle of a technological revolution, and as cities and states start to plan for and implement autonomous, electric, connected...	7 days ago
139	Sales Account Executive - Building Management Energy Automat...	Plymouth, MI	Siemens	NaN	            Reporting to the Area Sales Manager, this role will focus on customers in all vertical markets, mostly the Automotive, Tier, Municipalities, Universities...	30+ days ago
